Scenár nesúvislej matice D:;;
ms ; operacia;
577;at;
6;at;
195;column;
4;at;
3;at;
3;at;
63;row;
4;at;
1;row;
3;at;
0;row;
1;column;
3;at;
0;row;
3;at;
3;at;
0;column;
0;row;
3;at;
3;at;
0;column;
0;column;
3;at;
0;column;
3;at;
3;at;
5;at;
0;column;
3;at;
3;at;
4;at;
3;at;
0;row;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
3;at;
0;row;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
0;row;
0;column;
3;at;
3;at;
0;column;
0;row;
3;at;
0;row;
3;at;
0;row;
3;at;
0;column;
0;column;
0;column;
3;at;
4;at;
0;column;
3;at;
0;row;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;row;
0;column;
0;row;
3;at;
3;at;
3;at;
0;column;
0;row;
0;row;
0;column;
0;column;
0;row;
3;at;
4;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
0;column;
0;column;
3;at;
3;at;
0;row;
3;at;
0;row;
3;at;
0;column;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
0;column;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
4;at;
0;column;
0;row;
0;column;
3;at;
0;column;
3;at;
0;row;
3;at;
0;column;
0;column;
3;at;
3;at;
0;column;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
0;row;
3;at;
0;column;
0;column;
0;column;
0;row;
0;column;
3;at;
4;at;
3;at;
3;at;
0;column;
0;column;
3;at;
0;row;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
0;column;
0;row;
0;column;
0;column;
3;at;
0;row;
3;at;
0;column;
0;row;
3;at;
0;column;
0;column;
0;row;
3;at;
0;column;
3;at;
0;column;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
0;column;
0;column;
0;column;
3;at;
3;at;
3;at;
0;row;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
0;row;
3;at;
5;at;
3;at;
3;at;
7;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
0;column;
4;at;
3;at;
3;at;
0;row;
0;column;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
0;column;
0;row;
0;row;
0;column;
0;row;
3;at;
3;at;
3;at;
0;row;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
5;at;
0;column;
3;at;
0;column;
0;column;
0;row;
0;column;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;row;
3;at;
0;column;
0;column;
4;at;
3;at;
0;column;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;row;
0;column;
4;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
0;row;
3;at;
0;row;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;row;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
0;column;
3;at;
3;at;
0;row;
0;column;
0;column;
0;column;
3;at;
3;at;
0;row;
3;at;
0;column;
0;column;
3;at;
0;column;
0;column;
3;at;
0;row;
0;column;
3;at;
3;at;
0;row;
0;column;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
0;column;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;row;
0;row;
0;row;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
3;at;
0;column;
3;at;
0;row;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
0;row;
3;at;
3;at;
0;column;
0;column;
3;at;
0;row;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
0;row;
3;at;
0;row;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;row;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
0;column;
0;row;
0;column;
3;at;
0;column;
0;column;
0;column;
0;column;
0;column;
5;at;
3;at;
0;column;
0;column;
3;at;
0;row;
0;row;
0;column;
0;column;
0;column;
4;at;
0;column;
0;column;
3;at;
0;column;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
0;row;
3;at;
0;column;
0;column;
3;at;
0;column;
0;column;
0;row;
0;row;
0;column;
3;at;
0;column;
0;row;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
0;column;
0;column;
3;at;
0;column;
0;column;
3;at;
0;column;
0;column;
0;column;
4;at;
0;row;
3;at;
0;column;
0;row;
0;column;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
7;at;
0;row;
3;at;
3;at;
3;at;
3;at;
0;row;
3;at;
0;row;
3;at;
3;at;
0;column;
0;row;
3;at;
0;row;
0;row;
3;at;
3;at;
0;column;
3;at;
0;row;
0;row;
3;at;
0;column;
0;column;
0;column;
0;column;
0;row;
3;at;
0;column;
0;row;
0;column;
0;column;
3;at;
3;at;
0;column;
0;column;
3;at;
0;column;
3;at;
0;row;
0;column;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
0;column;
0;row;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
0;row;
0;column;
0;column;
3;at;
0;column;
0;row;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
0;row;
0;column;
3;at;
0;row;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
0;row;
0;column;
0;column;
5;at;
0;column;
0;column;
3;at;
3;at;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
3;at;
3;at;
0;column;
0;row;
3;at;
0;column;
3;at;
0;column;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
0;column;
0;row;
0;row;
5;at;
0;column;
3;at;
0;column;
3;at;
0;column;
0;column;
3;at;
3;at;
0;column;
0;column;
0;row;
3;at;
3;at;
3;at;
0;column;
0;column;
3;at;
0;column;
3;at;
3;at;
0;row;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
0;row;
0;column;
0;column;
0;column;
0;row;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
3;at;
0;row;
0;column;
0;column;
0;column;
3;at;
3;at;
0;column;
3;at;
0;column;
0;column;
3;at;
0;row;
0;column;
0;column;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
0;column;
0;column;
3;at;
4;at;
0;column;
3;at;
3;at;
0;row;
0;column;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;row;
3;at;
0;row;
3;at;
0;row;
3;at;
0;column;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;column;
0;column;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
3;at;
3;at;
0;column;
0;row;
3;at;
0;column;
0;row;
0;row;
0;column;
0;column;
3;at;
0;column;
0;column;
3;at;
0;row;
3;at;
3;at;
0;column;
3;at;
3;at;
4;at;
0;row;
0;column;
0;column;
3;at;
0;column;
3;at;
0;row;
3;at;
3;at;
0;row;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
0;column;
3;at;
0;row;
3;at;
3;at;
3;at;
0;column;
3;at;
3;at;
3;at;
0;column;
