Heap ;operation: 1
poèet prvkov;èas[ms]
100;175
200;11
300;18
400;7
500;22
600;7
700;29
800;29
900;18
1000;40
1100;29
1200;9
1300;21
1400;29
1500;7
1600;111
1700;18
1800;40
1900;29
2000;127
2100;9
2200;30
2300;7
2400;7
2500;25
2600;30
2700;29
2800;41
2900;29
3000;7
3100;29
3200;51
3300;7
3400;9
3500;20
3600;7
3700;7
3800;9
3900;29
4000;9
4100;9
4200;7
4300;8
4400;22
4500;18
4600;7
4700;9
4800;9
4900;9
5000;18
5100;7
5200;8
5300;41
5400;18
5500;7
5600;29
5700;18
5800;7
5900;8
6000;7
6100;7
6200;7
6300;8
6400;18
6500;7
6600;22
6700;9
6800;35
6900;52
7000;45
7100;40
7200;7
7300;18
7400;7
7500;40
7600;30
7700;18
7800;7
7900;7
8000;7
8100;7
8200;18
8300;18
8400;28
8500;29
8600;7
8700;7
8800;40
8900;18
9000;9
9100;18
9200;18
9300;7
9400;18
9500;7
9600;40
9700;19
9800;7
9900;40
10000;7
----------------------------------
----------------------------------
Priemerný èas push: ;21;mikrosekúnd
Celkový èas: ;2186
